usertype,zip_code_start,borough_start,neighborhood_start,zip_code_end,borough_end,neighborhood_end,start_day,stop_day,day_mean_temperature,day_mean_wind_speed,day_total_precipitation,trip_minutes,trip_count
Subscriber,10002,Manhattan,Lower East Side,10016,Manhattan,Gramercy Park and Murray Hill,12/08/2019,12/08/2019,74.4,4.3,0,30,5
Customer,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,23/04/2019,23/04/2019,55.7,6.6,0.01,40,2
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,29/04/2020,29/04/2020,64.9,4.3,0,20,30
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,07/05/2020,07/05/2020,66.2,1.7,0,30,4
Subscriber,10002,Manhattan,Lower East Side,10017,Manhattan,Gramercy Park and Murray Hill,01/06/2019,01/06/2019,64.8,2.8,0.05,20,5
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,21/11/2019,21/11/2019,32.3,7.5,0,10,21
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,12/11/2019,12/11/2019,59.5,2.4,0,20,17
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,23/06/2020,23/06/2020,82.1,4.7,0,10,33
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,16/11/2020,16/11/2020,58.1,2.9,0,0,14
Subscriber,10002,Manhattan,Lower East Side,10280,Manhattan,Lower Manhattan,08/09/2020,08/09/2020,84.2,3.8,0,20,6
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,23/04/2019,23/04/2019,55.7,6.6,0.01,0,8
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,30/12/2020,30/12/2020,41.3,3,0.15,20,16
Customer,10002,Manhattan,Lower East Side,10002,Manhattan,Lower East Side,04/11/2020,04/11/2020,62.9,2.3,0,10,14
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,20/09/2019,20/09/2019,65,3.2,0,10,16
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,23/12/2020,23/12/2020,56.4,3,0.19,20,9
Customer,10002,Manhattan,Lower East Side,10282,Manhattan,Tribeca,04/07/2020,04/07/2020,72,3,0,20,3
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,02/04/2019,02/04/2019,47.3,1.9,0,20,30
Customer,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,19/06/2019,19/06/2019,74.9,3,0,30,4
Subscriber,10002,Manhattan,Lower East Side,10280,Manhattan,Lower Manhattan,30/08/2020,30/08/2020,79.1,3.3,0,30,2
Customer,10002,Manhattan,Lower East Side,10019,Manhattan,Chelsea and Clinton,05/12/2019,05/12/2019,38.4,6.1,0,40,2
Subscriber,10002,Manhattan,Lower East Side,10019,Manhattan,Chelsea and Clinton,29/10/2019,29/10/2019,64.5,3.9,0,40,2
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,30/09/2020,30/09/2020,73.5,5.3,1.33,10,99
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,18/09/2020,18/09/2020,76.3,2.4,0,10,118
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,03/07/2020,03/07/2020,73.5,2.4,0,10,83
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,02/10/2019,02/10/2019,63.5,4.8,0.02,10,84
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,19/06/2020,19/06/2020,74.6,2.6,0,20,23
Customer,10002,Manhattan,Lower East Side,10038,Manhattan,Lower Manhattan,23/05/2019,23/05/2019,62.2,3.1,0.02,10,1
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,08/02/2019,08/02/2019,25.9,4.4,0,20,4
Subscriber,10002,Manhattan,Lower East Side,10010,Manhattan,Gramercy Park and Murray Hill,26/02/2020,26/02/2020,26.8,6.1,0,20,5
Subscriber,10002,Manhattan,Lower East Side,10004,Manhattan,Lower Manhattan,27/08/2019,27/08/2019,78.5,2.3,0,30,3
Customer,10002,Manhattan,Lower East Side,10023,Manhattan,Upper West Side,18/09/2020,18/09/2020,76.3,2.4,0,40,1
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,05/03/2019,05/03/2019,31.3,3.2,0,10,9
Customer,10002,Manhattan,Lower East Side,10103,Manhattan,Chelsea and Clinton,27/12/2020,27/12/2020,52,4.5,0.12,40,2
Customer,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,17/10/2020,17/10/2020,51.6,5,0,10,11
Subscriber,10002,Manhattan,Lower East Side,10003,Manhattan,Lower East Side,14/10/2019,14/10/2019,67.9,3.7,0.05,30,2
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,20/11/2019,20/11/2019,38.2,5.7,0,30,2
Customer,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,02/08/2019,02/08/2019,70.4,4.7,0.36,10,2
Subscriber,10002,Manhattan,Lower East Side,10014,Manhattan,Greenwich Village and Soho,25/12/2019,25/12/2019,53.2,7.3,0.86,10,4
Subscriber,10002,Manhattan,Lower East Side,10011,Manhattan,Chelsea and Clinton,10/10/2019,10/10/2019,58.7,2.6,0,20,39
Subscriber,10002,Manhattan,Lower East Side,10009,Manhattan,Lower East Side,27/12/2019,27/12/2019,47.7,3.5,0,20,7
Subscriber,10002,Manhattan,Lower East Side,10013,Manhattan,Greenwich Village and Soho,29/04/2019,29/04/2019,49.7,7.1,0,0,6
Subscriber,10002,Manhattan,Lower East Side,10005,Manhattan,Lower Manhattan,11/07/2019,11/07/2019,76.8,3.5,0,20,9
